year_week,WIND_DIRECTION_DEG,WIND_SPEED_MS,BAROMETRIC_PRESSURE_HPA,TEMP_2M_C,RELATIVE_HUMIDITY_PCT,total_ozone,mu,value
1982-W22,196.886905,3.292262,681.043558,9.435119,40.130952,265.2,1.2256,343.3156667
1982-W23,200.42515,3.749701,681.619277,8.627381,50.934524,257,1.57025,343.26575
1982-W24,191.802395,3.004192,680.973125,8.143114,51.323353,267.4,1.3028,341.55925
1982-W25,118.482143,3.541667,682.549405,10.004819,39.554217,273.8,1.1888,341.16175
1982-W26,123.137725,5.614371,682.352381,10.936747,25.00641,267.8,1.1906,342.83075
1982-W27,139.060241,5.09759,681.889881,9.75,29.315476,271.4,1.2454,342.074
1982-W28,150.60119,5.757738,681.504762,8.481548,46.964286,268,1.31275,341.30575
1982-W29,204.784431,3.582036,680.942262,7.865269,70.456954,258,1.190333,341.2723333
1982-W30,146.08982,5.641916,683.127381,8.4875,51.735849,250.6,1.1934,341.4823333
1982-W31,145.291667,6.67381,682.38869,8.856886,47.942857,259,1.2948,340.35675
1982-W32,182.143713,5.461677,682.075,7.713174,61.682635,256,1.2116,344.73325
1982-W33,202.930818,2.152201,682.342262,7.837576,79.267516,247.25,1.3505,337.4235
1982-W34,179.886905,2.957143,681.935119,7.137725,73.322148,265.8,1.6968,337.23825
1982-W35,225.706587,3.30479,681.246429,7.488024,78.646707,253.2,1.4802,342.94
1982-W36,180.121951,6.060366,682.024405,8.347904,46.664474,250.5,1.20175,337.59575
1982-W37,204.108434,2.543976,681.472619,7.266467,65.325301,251.8,1.529,338.40075
1982-W38,182.143713,3.242515,681.230952,8.41506,34.46988,247.5,1.400833,338.475
1982-W39,190.734568,3.538272,681.029167,7.095833,40.71519,254,1.32925,334.32325
1982-W40,142.72619,3.28631,681.114286,7.451497,45.347305,245.333,1.712,336.1176667
1982-W41,161.869048,3.383929,680.753571,8.845122,26.583893,247.25,1.28625,338.07
1982-W42,250.928571,3.726786,680.304762,8.989286,25.863095,237,1.3766,338.21
1982-W43,189.874251,2.163473,681.027381,8.062874,68.910828,233.5,1.488,338.7925
1982-W44,187.982143,3.367262,681.085119,8.270238,38.85119,227.6,1.6608,338.56575
1982-W45,152.317365,4.884431,680.177381,8.016168,17.826347,230.5,1.50325,338.765
1982-W46,154.715152,3.73697,680.791071,8.641718,44.834356,232.8,1.4554,335.845
1982-W47,188.613095,6.486905,680.835714,8.018563,42.670659,223.5,1.6105,340.3185
1982-W48,184.166667,6.368452,681.9375,8.638922,14.88024,238.8,1.4554,338.771
